,Aatrox,Aatrox,Ahri,Akali,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Ashe,Aurelion?Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cassiopeia,Cho'Gath,Cho'Gath,Darius,Diana,Diana,Dr.?Mundo,Dr.?Mundo,Draven,Ekko,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Irelia,Ivern,Janna,Jarvan?IV,Jax,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,LeBlanc,Lee?Sin,Leona,Lissandra,Lucian,Lulu,Lux,Lux,Malphite,Malphite,Malzahar,Maokai,Master?Yi,Miss?Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu?&?Willump,Olaf,Orianna,Ornn,Pantheon,Pantheon,Pantheon,Poppy,Pyke,Qiyana,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Rengar,Riven,Rumble,Rumble,Ryze,Ryze,Sejuani,Senna,Senna,Sett,Sett,Shaco,Shaco,Shen,Shen,Shyvana,Singed,Sion,Sivir,Sona,Soraka,Swain,Sylas,Sylas,Sylas,Sylas,Syndra,Tahm?Kench,Taliyah,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted?Fate,Twitch,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Veigar,Veigar,Vel'Koz,Vel'Koz,Vi,Viktor,Vladimir,Vladimir,Volibear,Volibear,Warwick,Xayah,Xerath,Xerath,Xin?Zhao,Yasuo,Yasuo,Yasuo,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Aatrox,-1,0.935803601,0.649801424,0.955895229,0.948954485,0.751863637,0.905553559,0.89178437,0.475512728,0.528536556,0.666674026,0.590219787,0.820617881,0.597513238,0.985590802,0.772516096,0.518893977,0.717907564,0.564527411,0.893638774,0.88548773,0.899447749,0.958891164,0.9303449,0.948058154,0.988859302,0.758371461,0.758592893,0.936388889,0.550398477,0.906977438,0.95283013,0.99589825,0.969358433,0.37482436,0.772280966,0.842561242,0.988762084,0.824716654,0.783173928,0.894151469,0.865513024,0.872714726,0.908438043,0.982932535,0.825321772,0.172192267,0.942571111,0.98496422,0.983622267,0.810434075,0.887827438,0.879914264,0.951498057,0.943601536,0.709646697,0.593311333,0.574807862,0.651356205,0.831350409,0.878200287,0.847694307,0.933258649,0.906311035,0.862016756,0.899070576,0.831638106,0.78117957,0.899966649,0.926760625,0.837129308,0.424683558,0.773171051,0.784648998,0.914913126,0.710467291,0.740554642,0.659295402,0.780542342,0.050981112,0.428533803,0.728558966,0.757913103,0.251241352,0.900960977,0.968436192,0.431214462,0.964058763,0.941689214,0.43131679,0.741282218,0.798107331,0.612324453,0.819178332,0.937591054,0.449250095,0.924339402,0.467211061,0.862654796,0.968221568,0.899666882,0.915759031,0.888524855,0.903948621,0.954137347,0.785920916,0.634817998,0.895157486,0.836800187,0.854195066,0.941357131,0.971494185,0.973785895,0.954237217,0.747879903,0.766528739,0.888776295,0.900593211,0.724816647,0.636007176,0.75042486,0.940417601,0.84721585,0.993691397,0.563005783,0.790273635,0.875863021,0.971326536,0.91646545,0.783069171,0.585291433,0.632646694,-0.973118569,0.954611935,0.882488059,0.956492638,0.986147238,0.960609499,0.491926488,0.768516942,0.588726821,0.953331368,0.766924295,0.568295386,0.520037431,0.779693327,0.689848252,0.62754628,0.976411399,0.852920528,0.605519234,0.963880189,0.83907589,0.896376694,0.568248727,0.773685857,0.443563016,0.459008917,0.659009306,0.001631537,0.179353639,0.978792192,0.175219522,0.543335387,0.535070719,0.835915429,0.841006809,0.62926358,0.586333297,-0.074334616,0.093954741,0.812873731,0.886204237,0.883071156,0.895763053,0.964158831,-0.745987076,-0.142765225,0.607173159,-0.059280365,0.954515813,0.491789341,0.401253687
Aatrox,0.935803601,-1,0.396152976,0.852092389,0.847888449,0.859564636,0.934042465,0.727612264,0.173678018,0.227126442,0.376106408,0.244819775,0.632726444,0.312352868,0.906083393,0.675490807,0.265920132,0.665075313,0.261808254,0.752176362,0.754940111,0.775356737,0.885898528,0.933748243,0.876686987,0.923923979,0.546090992,0.92352134,0.952453061,0.221255955,0.983167733,0.870623231,0.933980767,0.901561295,0.05720755,0.904928161,0.637696076,0.952632999,0.614878042,0.593814232,0.738140541,0.741653951,0.752685004,0.983468143,0.887483029,0.941604644,-0.163396462,0.907417788,0.912373444,0.91647565,0.734828281,0.842761268,0.919558244,0.965597713,0.820172146,0.465862822,0.30033474,0.260302849,0.345310817,0.604348486,0.671681339,0.753148499,0.824703574,0.77354551,0.627646816,0.766984022,0.956637115,0.571102594,0.97401826,0.956080275,0.785248227,0.136353016,0.565608998,0.509657194,0.928692404,0.621279214,0.50837649,0.372607593,0.579859284,-0.340175591,0.083019324,0.473366056,0.531746677,-0.127416804,0.99504273,0.98240302,0.089266786,0.908472992,0.779706287,0.515497253,0.656170182,0.671747955,0.335747883,0.904085644,0.97678098,0.692037899,0.980292741,0.146603992,0.772986636,0.957335147,0.739248493,0.78283996,0.77695922,0.762161462,0.981448703,0.575987535,0.360950743,0.83926432,0.899081118,0.948784679,0.942952666,0.988034807,0.928534256,0.819504144,0.551061677,0.574419417,0.738642716,0.753872062,0.810430218,0.496544119,0.679398531,0.942552006,0.739715238,0.904539878,0.29957615,0.657608779,0.767434697,0.992294402,0.844409775,0.733361059,0.275085585,0.666332799,-0.679123058,0.912980002,0.986578206,0.919556658,0.891475217,0.966173505,0.193465788,0.810139668,0.351474992,0.877580344,0.541187496,0.698722531,0.275404455,0.670564856,0.40164581,0.819149377,0.964971467,0.640351713,0.324014231,0.848839329,0.903949185,0.741227958,0.250868827,0.531708547,0.104692458,0.129632284,0.354678228,-0.361291668,-0.157141261,0.923930535,-0.168281095,0.672802155,0.683124033,0.884953736,0.75770948,0.819129849,0.273561213,-0.455353287,-0.263893416,0.938242107,0.685584327,0.690284754,0.712924604,0.875836731,-0.626884378,0.217977706,0.33633446,-0.433674416,0.847760211,0.223429688,0.101418499
Ahri,0.649801424,0.396152976,-1,0.838894884,0.845268303,-0.160276589,0.258489549,0.879960656,0.9792878,0.987546813,0.982419197,0.934613619,0.951214447,0.98480614,0.748432773,0.309354109,0.964487989,0.082388516,0.988306823,0.79230692,0.893568533,0.894010876,0.770180924,0.47067101,0.632098325,0.729368112,0.982126684,-0.090464379,0.524981915,0.969759528,0.315191649,0.822012249,0.662209844,0.767320285,0.959086949,0.070837251,0.945108166,0.637429794,0.944940327,0.865561633,0.924967084,0.672201108,0.759758266,0.263882872,0.753704594,0.024841779,0.892023567,0.750489016,0.674754552,0.64174036,0.248960663,0.419868431,0.15421567,0.357998689,0.751503471,0.982993191,0.987072446,0.98215749,0.971312959,0.950111266,0.914897007,0.872547433,0.868176046,0.90615652,0.9021599,0.860163169,0.07872396,0.975999622,0.288443123,0.432811626,0.468101355,0.969539103,0.983348166,0.916020159,0.282154215,0.141671635,0.970281424,0.98616829,0.383153052,0.84683888,0.956754181,0.912125484,0.936573536,0.911393436,0.310161591,0.463631362,0.963338275,0.758378769,0.80757753,-0.27491661,0.442769549,0.411516559,0.983727342,0.211004892,0.321919929,-0.696995574,0.286500109,0.975833035,0.633748803,0.459617518,0.886643352,0.833199656,0.735340014,0.46853755,0.387656056,0.97282035,0.963252953,0.267223138,0.080058527,0.093383052,0.438133802,0.470563293,0.639649279,0.776057446,0.966712333,0.953330992,0.927431679,0.917431643,-0.118250639,0.753648289,0.592589342,0.491023651,0.740909308,0.709640233,0.974112828,0.386277844,0.610201513,0.496839489,0.70295611,0.442007779,0.984150567,0.218235902,-2.059555387,0.741454584,0.221799142,0.734417404,0.731612695,0.616368818,0.984669856,-0.015024413,0.979499028,0.799829699,0.956817405,-0.480754658,0.978835717,0.273516973,0.974126364,-0.369706066,0.506220685,0.937624332,0.994145887,0.833464381,0.034181538,0.842102607,0.980578467,0.976355834,0.966159104,0.969749964,0.927985005,0.827083804,0.893793452,0.521901638,0.895714593,0.054592489,-0.025047145,0.120966832,0.541454187,-0.370497598,0.981479381,0.794328929,0.864443679,0.026314148,0.905639709,0.906129481,0.863991582,0.787782998,-1.338458561,-1.378637066,0.99110865,0.800977168,0.742881892,0.980141222,0.956185945
Akali,0.955895229,0.852092389,0.838894884,-1,0.999571402,0.523173842,0.771727306,0.965717806,0.714636396,0.745884537,0.83110752,0.747329421,0.944613895,0.796563998,0.9818337,0.686949997,0.753729583,0.572043744,0.766587144,0.941823518,0.965629771,0.977904553,0.986632584,0.871681091,0.926797125,0.983267342,0.912600666,0.571604641,0.900507168,0.746259767,0.799229189,0.997622057,0.957630568,0.984532006,0.640284769,0.626825392,0.947700946,0.95741009,0.93861691,0.894549937,0.982964246,0.883857671,0.924595484,0.779500259,0.97790779,0.644893086,0.485816731,0.97818197,0.961090602,0.947740252,0.655073488,0.78448951,0.713147914,0.830751544,0.956888204,0.874989022,0.784420173,0.768806699,0.812692033,0.934836117,0.953879192,0.946734942,0.996718731,0.989186742,0.928269625,0.957754646,0.670731838,0.924231066,0.781293228,0.842222106,0.80554875,0.682840628,0.921032743,0.879185965,0.782145371,0.580117431,0.892702055,0.83033782,0.677091166,0.377485173,0.664969492,0.858311617,0.89326881,0.53021622,0.805999999,0.880836025,0.66775245,0.987926044,0.96219885,0.244761138,0.7332999,0.734529059,0.807963516,0.696951651,0.811471449,0.153642095,0.798484364,0.70170068,0.87736565,0.878886594,0.974216322,0.971726435,0.925933627,0.801961247,0.850190838,0.926140248,0.816305567,0.736784774,0.667354952,0.681664117,0.862241105,0.888093846,0.950095033,0.967725579,0.907305222,0.915326223,0.981218225,0.986327153,0.529349739,0.742303396,0.760991282,0.884910751,0.907142822,0.972071436,0.781129189,0.716869709,0.868511888,0.902658267,0.939578315,0.766752536,0.776724476,0.561303606,-1.292189468,0.978865314,0.757542142,0.979431433,0.976652825,0.945107072,0.725657248,0.584142161,0.794318089,0.985060033,0.90619117,0.274374581,0.758748088,0.668125418,0.843060726,0.380426883,0.903344453,0.947992223,0.803940974,0.996831193,0.642371499,0.957596231,0.762115438,0.907527662,0.677298482,0.692535969,0.80423738,0.349730459,0.49370871,0.896611255,0.486156692,0.472421551,0.439959127,0.682794642,0.829415551,0.381156729,0.77641761,0.284522893,0.42270362,0.636783882,0.958896431,0.961185435,0.956055603,0.99144746,-0.913187154,-0.466255467,0.809374052,0.298949492,0.946636262,0.730811176,0.663904424
Akali,0.948954485,0.847888449,0.845268303,0.999571402,-1,0.506094232,0.759897048,0.964780889,0.723495723,0.752463558,0.832687697,0.745451031,0.947846958,0.80203493,0.978086297,0.672878879,0.764950191,0.554071771,0.771485713,0.93935495,0.967685819,0.980119667,0.986114368,0.866309017,0.92105291,0.979809343,0.917493325,0.562230841,0.898393156,0.748842454,0.793203461,0.998498565,0.951031374,0.983196545,0.651002369,0.620237468,0.948032625,0.952760175,0.939312051,0.89600117,0.984198605,0.87922551,0.923746513,0.771200161,0.972807407,0.633325194,0.500670596,0.980770185,0.955064185,0.940793309,0.635540688,0.772373821,0.698483706,0.81955805,0.951778114,0.879321028,0.78880706,0.772112896,0.812980475,0.933527703,0.951052065,0.952803324,0.998136686,0.991266912,0.923022192,0.957391833,0.66190444,0.928123048,0.77404615,0.836201577,0.799667215,0.694487924,0.925667512,0.874627313,0.769540576,0.561790872,0.896285148,0.832748683,0.655426293,0.3904461,0.67111226,0.858235004,0.895356394,0.538718786,0.802297026,0.873326213,0.673974506,0.988148775,0.956076276,0.231627078,0.727830482,0.721108206,0.81359482,0.690150493,0.801248507,0.137236962,0.789173735,0.708948477,0.87430642,0.869571398,0.973620195,0.970708128,0.924060568,0.783671499,0.84158821,0.92969626,0.820498569,0.717798804,0.653644903,0.669795413,0.854616745,0.881157376,0.945739201,0.962118084,0.913696039,0.920834851,0.983348696,0.987912036,0.514070221,0.746956818,0.759676104,0.879869574,0.907892832,0.965461782,0.789980277,0.702068854,0.861951252,0.897494598,0.938509756,0.762535367,0.779999335,0.55738255,-1.306904639,0.980027843,0.75121038,0.980549851,0.971315844,0.944613539,0.734123164,0.567764378,0.803477327,0.985104056,0.908607405,0.25197969,0.770874725,0.650771111,0.84351514,0.366256932,0.895699596,0.946646121,0.809626524,0.994671465,0.626066536,0.95582764,0.765231073,0.908623415,0.683365263,0.69910702,0.803022578,0.36663379,0.508641236,0.885493765,0.500254484,0.473911297,0.4399527,0.669975901,0.82382621,0.366706084,0.779391883,0.30154202,0.437995303,0.62635407,0.955756994,0.959073586,0.952589479,0.990020995,-0.921747879,-0.478302475,0.815979058,0.31625002,0.940960951,0.741730375,0.675447347
Alistar,0.751863637,0.859564636,-0.160276589,0.523173842,0.506094232,-1,0.932865026,0.387947899,-0.449537363,-0.371333553,-0.116713672,-0.215618392,0.196668396,-0.232677879,0.646566647,0.671149268,-0.347169207,0.76375265,-0.308741443,0.470894837,0.339519582,0.368138633,0.596772898,0.807673724,0.700755405,0.672040488,0.055283812,0.949428342,0.769381726,-0.312498725,0.866295999,0.533420197,0.737617999,0.600282558,-0.616458327,0.821177968,0.238201399,0.756989113,0.206811918,0.217495751,0.338733603,0.526962709,0.467166848,0.91650078,0.632958558,0.974992623,-0.92687073,0.582658204,0.720778951,0.747607243,0.720825192,0.718588761,0.968400236,0.919778852,0.588405833,-0.030640489,-0.261473529,-0.282164777,-0.13639536,0.206443608,0.322685793,0.292638898,0.455490496,0.374574418,0.293655314,0.386433711,0.933901291,0.100323857,0.874267442,0.791532721,0.658517142,-0.536683922,0.07817694,0.146981553,0.928072791,0.70304544,0.038021925,-0.130975871,0.599016734,-1.103771327,-0.518968602,0.069834867,0.103206282,-0.798799017,0.875222608,0.851815162,-0.522282573,0.610577667,0.529291738,0.460019009,0.516718632,0.629391926,-0.203459229,0.780490655,0.918392412,0.900668376,0.93514268,-0.464836075,0.560274583,0.870942496,0.39206119,0.470649868,0.514456748,0.737852941,0.903738186,0.11222504,-0.142604679,0.89163367,0.962833835,0.95885741,0.849109779,0.854395287,0.73296293,0.578491888,0.053336492,0.10020114,0.327284555,0.359390515,0.939762641,-0.016595491,0.320691119,0.804907513,0.439092408,0.697953525,-0.281409017,0.63476835,0.600234718,0.838140398,0.590230214,0.590090561,-0.266502262,0.41682128,-0.586524542,0.613927732,0.90953386,0.620886643,0.670448841,0.727938446,-0.429053723,0.927429079,-0.261537336,0.545567696,0.097111473,0.914407546,-0.368143659,0.707356644,-0.067617755,0.94205689,0.845058869,0.258223707,-0.232483322,0.540313035,0.987907959,0.429709851,-0.294474257,0.081482243,-0.500521167,-0.472075397,-0.071330589,-1.172053825,-0.903339894,0.832552405,-0.922757572,0.400915972,0.453650183,0.932153395,0.601272194,0.946763926,-0.259854448,-1.282716639,-1.034859678,0.940634019,0.342017251,0.33978201,0.401984193,0.589011876,-0.798904744,0.379335681,-0.224725061,-1.259678086,0.584348365,-0.428759698,-0.556258478
Amumu,0.905553559,0.934042465,0.258489549,0.771727306,0.759897048,0.932865026,-1,0.70493088,0.036813136,0.080998186,0.29863209,0.212832151,0.559110529,0.222717477,0.831875063,0.866822886,0.137541113,0.887604117,0.130595566,0.77317399,0.601614828,0.633989021,0.837026843,0.963619464,0.914537544,0.855939094,0.443539791,0.888280921,0.935730176,0.144504381,0.892658886,0.774362934,0.887647734,0.79408745,-0.110342603,0.766986944,0.582932851,0.924176143,0.567203286,0.597386933,0.639931112,0.813228761,0.77389155,0.933408256,0.817795521,0.940673676,-0.382745529,0.808400135,0.912835154,0.928258578,0.715153823,0.753450701,0.990580427,0.981461794,0.843322012,0.384195579,0.158075742,0.162350723,0.280445505,0.548848712,0.636768203,0.559123349,0.719904725,0.66333098,0.598386944,0.621431003,0.901523531,0.479073057,0.887473557,0.841309979,0.886036934,-0.04825164,0.45486961,0.502690707,0.998850031,0.853796323,0.442213023,0.290274236,0.76840812,-0.529535116,-0.019746777,0.477203929,0.501613444,-0.258665343,0.934221177,0.926745756,-0.032481236,0.834557393,0.790234533,0.308013193,0.79268831,0.848920891,0.248687251,0.757432784,0.952502419,0.69789316,0.981577322,0.019543947,0.834313778,0.982234684,0.704962649,0.766096722,0.804944766,0.872230747,0.981480713,0.490081392,0.307384883,0.945402462,0.989872178,0.927895392,0.981559323,0.938866455,0.924103808,0.829877497,0.452120801,0.493050623,0.628544528,0.658837375,0.951723394,0.212818328,0.439466862,0.961475063,0.755743627,0.883133374,0.191261961,0.845326367,0.85673546,0.942490537,0.849342698,0.840648471,0.172453438,0.406328736,-1.028152808,0.834050446,0.924960142,0.837691166,0.877276482,0.896118644,0.042443235,0.963678176,0.144844978,0.755196237,0.489919174,0.732037531,0.09851739,0.87337436,0.340198056,0.799909264,0.970956399,0.593985752,0.212102062,0.779140633,0.959535141,0.740162713,0.146179169,0.456911317,-0.013980732,0.017837444,0.353204275,-0.585994271,-0.340394329,0.960088611,-0.37727631,0.365396591,0.391511415,0.988970011,0.855979603,0.805876338,0.183027503,-0.685753926,-0.458996375,0.888237545,0.655101996,0.661047089,0.712640325,0.830768822,-1.06335024,0.027549584,0.225087527,-0.662840441,0.75184457,0.029333132,-0.041037354
Anivia,0.89178437,0.727612264,0.879960656,0.965717806,0.964780889,0.387947899,0.70493088,-1,0.796428359,0.80314058,0.897898793,0.84667633,0.981366665,0.880721279,0.918202836,0.751957042,0.837888999,0.612492887,0.823549718,0.98540896,0.908443101,0.928086755,0.96230186,0.83722809,0.928195838,0.918867402,0.94911115,0.387986096,0.849641587,0.837773012,0.637354887,0.951918655,0.886492013,0.90731932,0.719568264,0.402140584,0.984343843,0.901665126,0.984019316,0.97543024,0.97076052,0.941650561,0.971148889,0.632702747,0.913166069,0.493650859,0.562830819,0.923196449,0.932893414,0.919864151,0.51399539,0.629686202,0.624219741,0.737287819,0.974508312,0.938423513,0.823939839,0.843195977,0.885767929,0.968464733,0.98229911,0.871768732,0.959781401,0.96365434,0.952126452,0.887479659,0.494985014,0.959862082,0.615674099,0.681515747,0.846429491,0.743111141,0.948943341,0.941845644,0.719252426,0.644113404,0.956899432,0.897887603,0.732004902,0.489739996,0.767824273,0.955276288,0.97096404,0.644930773,0.676090673,0.761052394,0.758352046,0.9425628,0.980442639,-0.059206999,0.817504049,0.806887497,0.891649182,0.484764452,0.684117788,-0.084915994,0.690017299,0.786623674,0.924549566,0.817233055,0.998364181,0.994002717,0.966198348,0.79402637,0.758424177,0.964006631,0.913056264,0.68383886,0.590779507,0.520651422,0.818230164,0.776148672,0.918204237,0.97649159,0.950622876,0.963214123,0.965656183,0.97654838,0.469462658,0.610834343,0.588070182,0.844932107,0.956203467,0.929474625,0.864539292,0.789153353,0.918692025,0.801676609,0.951292297,0.822982082,0.845448776,0.308203544,-1.80443765,0.932378658,0.603449805,0.927069175,0.950856591,0.871100882,0.792094609,0.543499729,0.796986039,0.912252436,0.968601953,0.059364319,0.809150144,0.724542926,0.912033853,0.161722432,0.840103006,0.981863476,0.871165856,0.964214864,0.518570678,0.99655242,0.831793996,0.951206806,0.767981016,0.788002285,0.913660009,0.452242396,0.600971691,0.848773556,0.570781813,0.181578389,0.141754785,0.628690387,0.882715467,0.165697225,0.85320189,0.391565298,0.53309878,0.451373712,0.984530862,0.992005267,0.994203077,0.969975668,-1.369458209,-0.87069123,0.877529772,0.406218049,0.864974088,0.769740358,0.760609462
Annie,0.475512728,0.173678018,0.9792878,0.714636396,0.723495723,-0.449537363,0.036813136,0.796428359,-1,0.990047707,0.962770732,0.929107952,0.893483108,0.985983506,0.591619662,0.164808999,0.979455968,-0.099246883,0.983789906,0.699330186,0.780132857,0.78154696,0.639363629,0.29350177,0.488859794,0.569821799,0.940027273,-0.382761989,0.351329027,0.97647314,0.069099976,0.692318301,0.486226026,0.613112372,0.992982308,-0.215392809,0.880188904,0.467309628,0.887490953,0.817358103,0.832167127,0.570611575,0.667793948,0.013769549,0.597175029,-0.251415365,0.950560019,0.609826697,0.52000382,0.481369189,0.00353147,0.189111231,-0.089563987,0.133515884,0.6326897,0.9580583,0.971187413,0.980901628,0.953931194,0.885456071,0.834418329,0.758778465,0.752353851,0.804860634,0.819538454,0.733107918,-0.197754737,0.928541352,0.036604994,0.201402298,0.33320822,0.990922641,0.935154215,0.863468184,0.063227088,-0.022795111,0.938507117,0.969147529,0.235488272,0.928399066,0.988427666,0.884349923,0.901256311,0.969840846,0.07878641,0.244763586,0.989971883,0.617855695,0.695842734,-0.595577246,0.336519458,0.28059114,0.982359809,-0.057454621,0.082082592,-1.056445472,0.05174481,0.997272967,0.523781681,0.261056768,0.800156426,0.735581403,0.634316718,0.294177196,0.169859989,0.924763964,0.959835126,0.047212535,-0.162074054,-0.180664404,0.249245376,0.255964461,0.482197836,0.655847975,0.928499647,0.911424026,0.834725317,0.823307623,-0.366592682,0.63112659,0.408296618,0.313756098,0.653027013,0.552633416,0.982523178,0.251796047,0.492987368,0.291641409,0.582587037,0.319372382,0.979442973,-0.034887815,-2.503483407,0.599070958,-0.031185027,0.589210655,0.58644565,0.443915399,0.997324683,-0.248571717,0.952602369,0.654812999,0.917922057,-0.823385385,0.983655151,0.115910389,0.949891739,-0.700001996,0.314196393,0.868045452,0.989292567,0.705708533,-0.235393386,0.754297498,0.97788067,0.930345924,0.990857465,0.994932509,0.915282765,0.9130843,0.962345656,0.334567224,0.955878518,-0.217466686,-0.311329019,-0.105596333,0.422038632,-0.700148797,0.979016402,0.889066236,0.943276901,-0.259586672,0.822591334,0.82653407,0.778197158,0.658920723,-1.687460127,-1.806094455,0.987435773,0.894685907,0.580708087,0.983670238,0.992937629
Aphelios,0.528536556,0.227126442,0.987546813,0.745884537,0.752463558,-0.371333553,0.080998186,0.80314058,0.990047707,-1,0.975202294,0.942691096,0.894751333,0.977758422,0.642620504,0.164178148,0.950363371,-0.086733337,0.998162039,0.697178527,0.827276975,0.822208226,0.65731925,0.309739079,0.502517095,0.616801509,0.943331954,-0.306127735,0.366950664,0.981213626,0.146672368,0.72243111,0.544244804,0.663751762,0.984369727,-0.111223978,0.892191816,0.504730888,0.894110667,0.795670773,0.859412913,0.560115819,0.654913691,0.087916695,0.655533476,-0.176807208,0.937768664,0.630363738,0.552791835,0.515125687,0.137273852,0.305317908,-0.028120933,0.196169967,0.647903332,0.954577721,0.994423397,0.990739327,0.969189673,0.908725959,0.858764679,0.798358762,0.782132107,0.832173003,0.857684073,0.793524914,-0.11677536,0.933852256,0.120337425,0.28914814,0.318987211,0.984393741,0.943664656,0.88587502,0.110490929,-0.013717976,0.933239251,0.97835908,0.285313886,0.913347518,0.980944728,0.871676358,0.88966216,0.959002974,0.127128864,0.31509677,0.990424793,0.642482898,0.722507081,-0.415745011,0.302753328,0.281476192,0.971954481,0.051161465,0.157074907,-0.949006277,0.109049105,0.993571734,0.508003703,0.306169941,0.810282571,0.741003803,0.625412015,0.358973206,0.222323591,0.929520303,0.943852353,0.119829308,-0.115823015,-0.095022641,0.276750982,0.319447643,0.50629014,0.680005958,0.920111221,0.901035467,0.861048398,0.84646833,-0.332386074,0.720549347,0.519239184,0.332661401,0.631745503,0.599194456,0.96054832,0.257187615,0.487922287,0.343426646,0.579553505,0.291116227,0.99174219,0.105235276,-2.24261238,0.619573449,0.035650966,0.611827273,0.620756757,0.472884744,0.996771484,-0.213478389,0.974051239,0.702402417,0.914258214,-0.6899493,0.971038926,0.131662994,0.962754436,-0.597368152,0.356621791,0.887569216,0.989893284,0.74325273,-0.155146465,0.757077594,0.992016686,0.945764377,0.991030297,0.988660295,0.911376357,0.888029412,0.93186072,0.386030228,0.942980737,-0.090281247,-0.180861225,-0.071783904,0.406667301,-0.59834961,0.987720113,0.86555108,0.915427104,-0.169687646,0.847544308,0.844036627,0.791773612,0.681006013,-1.431770127,-1.635426016,0.982013685,0.86880683,0.654292132,0.98673976,0.967240104
