url,cn_title,cn_name,en_name,en_title,classes,lane,win_rate
http://game.gtimg.cn/images/lol/act/img/champion/Annie.png,黑暗之女,安妮,Annie,the Dark Child,,,
http://game.gtimg.cn/images/lol/act/img/champion/Olaf.png,狂战士,奥拉夫,Olaf,the Berserker,,,
http://game.gtimg.cn/images/lol/act/img/champion/Galio.png,正义巨像,加里奥,Galio,the Colossus,,,
http://game.gtimg.cn/images/lol/act/img/champion/TwistedFate.png,卡牌大师,崔斯特,Twisted Fate,the Card Master,,,
http://game.gtimg.cn/images/lol/act/img/champion/XinZhao.png,德邦总管,赵信,Xin Zhao,the Seneschal of Demacia,,,
http://game.gtimg.cn/images/lol/act/img/champion/Urgot.png,无畏战车,厄加特,Urgot,the Dreadnought,,,
http://game.gtimg.cn/images/lol/act/img/champion/Leblanc.png,诡术妖姬,乐芙兰,LeBlanc,the Deceiver,,,
http://game.gtimg.cn/images/lol/act/img/champion/Vladimir.png,猩红收割者,弗拉基米尔,Vladimir,the Crimson Reaper,,,
http://game.gtimg.cn/images/lol/act/img/champion/FiddleSticks.png,末日使者,费德提克,Fiddlesticks,the Harbinger of Doom,,,
http://game.gtimg.cn/images/lol/act/img/champion/Kayle.png,正义天使,凯尔,Kayle,the Righteous,,,
http://game.gtimg.cn/images/lol/act/img/champion/MasterYi.png,无极剑圣,易,Master Yi,the Wuju Bladesman,,,
http://game.gtimg.cn/images/lol/act/img/champion/Alistar.png,牛头酋长,阿利斯塔,Alistar,the Minotaur,,,
http://game.gtimg.cn/images/lol/act/img/champion/Ryze.png,符文法师,瑞兹,Ryze,the Rune Mage,,,
http://game.gtimg.cn/images/lol/act/img/champion/Sion.png,亡灵战神,赛恩,Sion,The Undead Juggernaut,,,
http://game.gtimg.cn/images/lol/act/img/champion/Sivir.png,战争女神,希维尔,Sivir,the Battle Mistress,,,
http://game.gtimg.cn/images/lol/act/img/champion/Soraka.png,众星之子,索拉卡,Soraka,the Starchild,,,
http://game.gtimg.cn/images/lol/act/img/champion/Teemo.png,迅捷斥候,提莫,Teemo,the Swift Scout,,,
http://game.gtimg.cn/images/lol/act/img/champion/Tristana.png,麦林炮手,崔丝塔娜,Tristana,the Yordle Gunner,,,
http://game.gtimg.cn/images/lol/act/img/champion/Warwick.png,祖安怒兽,沃里克,Warwick,the Uncaged Wrath of Zaun,,,
http://game.gtimg.cn/images/lol/act/img/champion/Nunu.png,雪原双子,努努和威朗普,Nunu & Willump,the Boy and His Yeti,,,
http://game.gtimg.cn/images/lol/act/img/champion/MissFortune.png,赏金猎人,厄运小姐,Miss Fortune,the Bounty Hunter,,,
http://game.gtimg.cn/images/lol/act/img/champion/Ashe.png,寒冰射手,艾希,Ashe,the Frost Archer,,,
http://game.gtimg.cn/images/lol/act/img/champion/Tryndamere.png,蛮族之王,泰达米尔,Tryndamere,the Barbarian King,,,
http://game.gtimg.cn/images/lol/act/img/champion/Jax.png,武器大师,贾克斯,Jax,Grandmaster at Arms,,,
http://game.gtimg.cn/images/lol/act/img/champion/Morgana.png,堕落天使,莫甘娜,Morgana,the Fallen,,,
http://game.gtimg.cn/images/lol/act/img/champion/Zilean.png,时光守护者,基兰,Zilean,the Chronokeeper,,,
http://game.gtimg.cn/images/lol/act/img/champion/Singed.png,炼金术士,辛吉德,Singed,the Mad Chemist,,,
http://game.gtimg.cn/images/lol/act/img/champion/Evelynn.png,痛苦之拥,伊芙琳,Evelynn,Agony's Embrace,,,
http://game.gtimg.cn/images/lol/act/img/champion/Twitch.png,瘟疫之源,图奇,Twitch,the Plague Rat,,,
http://game.gtimg.cn/images/lol/act/img/champion/Karthus.png,死亡颂唱者,卡尔萨斯,Karthus,the Deathsinger,,,
http://game.gtimg.cn/images/lol/act/img/champion/Chogath.png,虚空恐惧,科加斯,Cho'Gath,the Terror of the Void,,,
http://game.gtimg.cn/images/lol/act/img/champion/Amumu.png,殇之木乃伊,阿木木,Amumu,the Sad Mummy,,,
http://game.gtimg.cn/images/lol/act/img/champion/Rammus.png,披甲龙龟,拉莫斯,Rammus,the Armordillo,,,
http://game.gtimg.cn/images/lol/act/img/champion/Anivia.png,冰晶凤凰,艾尼维亚,Anivia,the Cryophoenix,,,
http://game.gtimg.cn/images/lol/act/img/champion/Shaco.png,恶魔小丑,萨科,Shaco,the Demon Jester,,,
http://game.gtimg.cn/images/lol/act/img/champion/DrMundo.png,祖安狂人,蒙多医生,Dr. Mundo,the Madman of Zaun,,,
http://game.gtimg.cn/images/lol/act/img/champion/Sona.png,琴瑟仙女,娑娜,Sona,Maven of the Strings,,,
http://game.gtimg.cn/images/lol/act/img/champion/Kassadin.png,虚空行者,卡萨丁,Kassadin,the Void Walker,,,
http://game.gtimg.cn/images/lol/act/img/champion/Irelia.png,刀锋舞者,艾瑞莉娅,Irelia,the Blade Dancer,,,
http://game.gtimg.cn/images/lol/act/img/champion/Janna.png,风暴之怒,迦娜,Janna,the Storm's Fury,,,
http://game.gtimg.cn/images/lol/act/img/champion/Gangplank.png,海洋之灾,普朗克,Gangplank,the Saltwater Scourge,,,
http://game.gtimg.cn/images/lol/act/img/champion/Corki.png,英勇投弹手,库奇,Corki,the Daring Bombardier,,,
http://game.gtimg.cn/images/lol/act/img/champion/Karma.png,天启者,卡尔玛,Karma,the Enlightened One,,,
http://game.gtimg.cn/images/lol/act/img/champion/Taric.png,瓦洛兰之盾,塔里克,Taric,the Shield of Valoran,,,
http://game.gtimg.cn/images/lol/act/img/champion/Veigar.png,邪恶小法师,维迦,Veigar,the Tiny Master of Evil,,,
http://game.gtimg.cn/images/lol/act/img/champion/Trundle.png,巨魔之王,特朗德尔,Trundle,the Troll King,,,
http://game.gtimg.cn/images/lol/act/img/champion/Swain.png,诺克萨斯统领,斯维因,Swain,the Noxian Grand General,,,
http://game.gtimg.cn/images/lol/act/img/champion/Caitlyn.png,皮城女警,凯特琳,Caitlyn,the Sheriff of Piltover,,,
http://game.gtimg.cn/images/lol/act/img/champion/Blitzcrank.png,蒸汽机器人,布里茨,Blitzcrank,the Great Steam Golem,,,
http://game.gtimg.cn/images/lol/act/img/champion/Malphite.png,熔岩巨兽,墨菲特,Malphite,Shard of the Monolith,,,
http://game.gtimg.cn/images/lol/act/img/champion/Katarina.png,不祥之刃,卡特琳娜,Katarina,the Sinister Blade,,,
http://game.gtimg.cn/images/lol/act/img/champion/Nocturne.png,永恒梦魇,魔腾,Nocturne,the Eternal Nightmare,,,
http://game.gtimg.cn/images/lol/act/img/champion/Maokai.png,扭曲树精,茂凯,Maokai,the Twisted Treant,,,
http://game.gtimg.cn/images/lol/act/img/champion/Renekton.png,荒漠屠夫,雷克顿,Renekton,the Butcher of the Sands,,,
http://game.gtimg.cn/images/lol/act/img/champion/JarvanIV.png,德玛西亚皇子,嘉文四世,Jarvan IV,the Exemplar of Demacia,,,
http://game.gtimg.cn/images/lol/act/img/champion/Elise.png,蜘蛛女皇,伊莉丝,Elise,the Spider Queen,,,
http://game.gtimg.cn/images/lol/act/img/champion/Orianna.png,发条魔灵,奥莉安娜,Orianna,the Lady of Clockwork,,,
http://game.gtimg.cn/images/lol/act/img/champion/MonkeyKing.png,齐天大圣,孙悟空,Wukong,the Monkey King,,,
http://game.gtimg.cn/images/lol/act/img/champion/Brand.png,复仇焰魂,布兰德,Brand,the Burning Vengeance,,,
http://game.gtimg.cn/images/lol/act/img/champion/LeeSin.png,盲僧,李青,Lee Sin,the Blind Monk,,,
http://game.gtimg.cn/images/lol/act/img/champion/Vayne.png,暗夜猎手,薇恩,Vayne,the Night Hunter,,,
http://game.gtimg.cn/images/lol/act/img/champion/Rumble.png,机械公敌,兰博,Rumble,the Mechanized Menace,,,
http://game.gtimg.cn/images/lol/act/img/champion/Cassiopeia.png,魔蛇之拥,卡西奥佩娅,Cassiopeia,the Serpent's Embrace,,,
http://game.gtimg.cn/images/lol/act/img/champion/Skarner.png,水晶先锋,斯卡纳,Skarner,the Crystal Vanguard,,,
http://game.gtimg.cn/images/lol/act/img/champion/Heimerdinger.png,大发明家,黑默丁格,Heimerdinger,the Revered Inventor,,,
http://game.gtimg.cn/images/lol/act/img/champion/Nasus.png,沙漠死神,内瑟斯,Nasus,the Curator of the Sands,,,
http://game.gtimg.cn/images/lol/act/img/champion/Nidalee.png,狂野女猎手,奈德丽,Nidalee,the Bestial Huntress,,,
