Champion,1st Item,2nd Item,3rd Item,4th Item, Pick Rate, Win Rate
Aatrox, Black Cleaver, Death's Dance, Sterak's Gage,NaN,0.326,0.6296
Aatrox, Black Cleaver, Death's Dance, Guardian Angel,NaN,0.159,0.5823
Aatrox, Black Cleaver, Death's Dance, Spirit Visage,NaN,0.0905,0.6
Aatrox, Black Cleaver, Death's Dance, Maw of Malmortius,NaN,0.0362,0.4444
Aatrox, Youmuu's Ghostblade, Black Cleaver, Death's Dance,NaN,0.0342,0.7059
Aatrox, Youmuu's Ghostblade, Black Cleaver, Sterak's Gage,NaN,0.0322,0.4375
Aatrox, Black Cleaver, Youmuu's Ghostblade, Sterak's Gage,NaN,0.0262,0.6154
Aatrox, Death's Dance, Black Cleaver, Sterak's Gage,NaN,0.0221,0.6364
Ahri, Hextech GLP-800, Twin Shadows, Morellonomicon,NaN,0.2822,0.6019
Ahri, Hextech GLP-800, Twin Shadows, Zhonya's Hourglass,NaN,0.1735,0.5654
Ahri, Luden's Echo, Morellonomicon, Zhonya's Hourglass,NaN,0.0636,0.5524
Ahri, Hextech GLP-800, Twin Shadows, Mejai's Soulstealer,NaN,0.0445,0.8231
Ahri, Luden's Echo, Morellonomicon, Rabadon's Deathcap,NaN,0.0345,0.6053
Ahri, Hextech GLP-800, Twin Shadows, Rabadon's Deathcap,NaN,0.0312,0.6311
Ahri, Hextech GLP-800, Twin Shadows, Banshee's Veil,NaN,0.0272,0.5556
Ahri, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.0257,0.4941
Akali, Hextech Gunblade, Morellonomicon, Zhonya's Hourglass,NaN,0.4403,0.5587
Akali, Hextech Gunblade, Zhonya's Hourglass, Morellonomicon,NaN,0.2534,0.534
Akali, Hextech Gunblade, Morellonomicon, Rabadon's Deathcap,NaN,0.064,0.5962
Akali, Hextech Gunblade, Zhonya's Hourglass, Rabadon's Deathcap,NaN,0.0406,0.5455
Akali, Hextech Gunblade, Morellonomicon, Void Staff,NaN,0.0246,0.35
Akali, Hextech Gunblade, Zhonya's Hourglass, Void Staff,NaN,0.0221,0.4444
Akali, Hextech Gunblade, Rabadon's Deathcap, Zhonya's Hourglass,NaN,0.0148,0.5833
Akali, Hextech Gunblade, Zhonya's Hourglass, Banshee's Veil,NaN,0.0148,0.5
Anivia, Rod of Ages, Archangel's Staff, Zhonya's Hourglass,NaN,0.2923,0.5445
Anivia, Rod of Ages, Archangel's Staff, Morellonomicon,NaN,0.14,0.5574
Anivia, Rod of Ages, Archangel's Staff, Liandry's Torment,NaN,0.0681,0.618
Anivia, Rod of Ages, Zhonya's Hourglass, Archangel's Staff,NaN,0.0513,0.6269
Anivia, Rod of Ages, Morellonomicon, Zhonya's Hourglass,NaN,0.0482,0.4762
Anivia, Rod of Ages, Luden's Echo, Zhonya's Hourglass,NaN,0.0337,0.6591
Anivia, Rod of Ages, Archangel's Staff, Rabadon's Deathcap,NaN,0.0321,0.619
Anivia, Rod of Ages, Zhonya's Hourglass, Morellonomicon,NaN,0.0245,0.5938
Annie, Luden's Echo, Zhonya's Hourglass, Morellonomicon,NaN,0.1014,0.6207
Annie, Luden's Echo, Morellonomicon, Zhonya's Hourglass,NaN,0.0524,0.6667
Annie, Luden's Echo, Zhonya's Hourglass, Rabadon's Deathcap,NaN,0.0455,0.7692
Annie, Luden's Echo, Zhonya's Hourglass, Void Staff,NaN,0.0455,0.3846
Annie, Luden's Echo, Void Staff, Zhonya's Hourglass,NaN,0.0315,0.7778
Annie, Zhonya's Hourglass, Luden's Echo, Morellonomicon,NaN,0.0315,0.6667
Annie, Luden's Echo, Morellonomicon, Void Staff,NaN,0.028,0.5
Annie, Luden's Echo, Liandry's Torment, Morellonomicon,NaN,0.021,0.6667
AurelionSol, Rod of Ages, Morellonomicon, Zhonya's Hourglass,NaN,0.1421,0.5905
