Champion,1st Item,2nd Item,3rd Item,4th Item, Pick Rate, Win Rate
Alistar, Zeke's Convergence, Knight's Vow, Locket of the Iron Solari,NaN,0.1167,0.6571
Alistar, Zeke's Convergence, Locket of the Iron Solari, Knight's Vow,NaN,0.0633,0.6842
Alistar, Knight's Vow, Locket of the Iron Solari, Redemption,NaN,0.04,0.3333
Alistar, Knight's Vow, Zeke's Convergence, Locket of the Iron Solari,NaN,0.0367,0.7273
Alistar, Zeke's Convergence, Knight's Vow, Redemption,NaN,0.0333,0.7
Alistar, Zeke's Convergence, Knight's Vow, Gargoyle Stoneplate,NaN,0.0333,0.8
Alistar, Knight's Vow, Zeke's Convergence, Redemption,NaN,0.03,0.8889
Alistar, Knight's Vow, Redemption, Locket of the Iron Solari,NaN,0.0267,0.75
Bard, Athene's Unholy Grail, Redemption, Locket of the Iron Solari,NaN,0.0488,0.6981
Bard, Twin Shadows, Redemption, Locket of the Iron Solari,NaN,0.0295,0.75
Bard, Redemption, Locket of the Iron Solari, Knight's Vow,NaN,0.0221,0.7917
Bard, Twin Shadows, Locket of the Iron Solari, Redemption,NaN,0.0193,0.5238
Bard, Redemption, Athene's Unholy Grail, Locket of the Iron Solari,NaN,0.0193,0.7619
Bard, Locket of the Iron Solari, Redemption, Knight's Vow,NaN,0.0184,0.7
Bard, Athene's Unholy Grail, Redemption, Knight's Vow,NaN,0.0147,0.8125
Bard, Redemption, Locket of the Iron Solari, Twin Shadows,NaN,0.011,0.9167
Blitzcrank, Zeke's Convergence, Knight's Vow, Locket of the Iron Solari,NaN,0.137,0.6953
Blitzcrank, Zeke's Convergence, Locket of the Iron Solari, Knight's Vow,NaN,0.0795,0.5988
Blitzcrank, Zeke's Convergence, Knight's Vow, Redemption,NaN,0.0722,0.6327
Blitzcrank, Zeke's Convergence, Locket of the Iron Solari, Redemption,NaN,0.0349,0.6761
Blitzcrank, Zeke's Convergence, Redemption, Knight's Vow,NaN,0.0329,0.6119
Blitzcrank, Zeke's Convergence, Redemption, Locket of the Iron Solari,NaN,0.0255,0.6731
Blitzcrank, Knight's Vow, Zeke's Convergence, Locket of the Iron Solari,NaN,0.0221,0.7333
Blitzcrank, Zeke's Convergence, Knight's Vow, Gargoyle Stoneplate,NaN,0.0167,0.5588
