WhoAmI,,Position,,Against,WinRate
Aatrox,",",Top,"Aatrox,Top",Sett,44.61
Aatrox,",",Top,"Aatrox,Top",Ornn,47.06
Aatrox,",",Top,"Aatrox,Top",Mordekaiser,48.38
Aatrox,",",Top,"Aatrox,Top",Fiora,48.01
Aatrox,",",Top,"Aatrox,Top",Renekton,51.67
Aatrox,",",Top,"Aatrox,Top",Darius,46.00
Aatrox,",",Top,"Aatrox,Top",Vladimir,48.19
Aatrox,",",Top,"Aatrox,Top",Akali,52.02
Aatrox,",",Top,"Aatrox,Top",Garen,47.00
Aatrox,",",Top,"Aatrox,Top",Irelia,49.69
Aatrox,",",Top,"Aatrox,Top",Malphite,44.49
Aatrox,",",Top,"Aatrox,Top",Jax,46.73
Aatrox,",",Top,"Aatrox,Top",Kled,45.51
Aatrox,",",Top,"Aatrox,Top",Camille,48.18
Aatrox,",",Top,"Aatrox,Top",Teemo,49.40
Aatrox,",",Top,"Aatrox,Top",Shen,49.73
Aatrox,",",Top,"Aatrox,Top",Sylas,52.55
Aatrox,",",Top,"Aatrox,Top",Illaoi,46.68
Aatrox,",",Top,"Aatrox,Top",Rengar,47.85
Aatrox,",",Top,"Aatrox,Top",Soraka,39.87
Aatrox,",",Top,"Aatrox,Top",Yasuo,50.34
Aatrox,",",Top,"Aatrox,Top",Lucian,48.65
Aatrox,",",Top,"Aatrox,Top",Poppy,47.61
Aatrox,",",Top,"Aatrox,Top",Riven,44.70
Aatrox,",",Top,"Aatrox,Top",Rumble,49.40
Aatrox,",",Top,"Aatrox,Top",Gangplank,46.57
Aatrox,",",Top,"Aatrox,Top",Kennen,48.29
Aatrox,",",Top,"Aatrox,Top",Singed,39.78
Aatrox,",",Top,"Aatrox,Top",Quinn,50.00
Aatrox,",",Top,"Aatrox,Top",Kayle,48.34
Aatrox,",",Top,"Aatrox,Top",Pantheon,44.82
Aatrox,",",Top,"Aatrox,Top",Ryze,47.15
Aatrox,",",Top,"Aatrox,Top",Yorick,43.33
Aatrox,",",Top,"Aatrox,Top",Vayne,48.99
Aatrox,",",Top,"Aatrox,Top",Tryndamere,54.34
Aatrox,",",Top,"Aatrox,Top",Dr. Mundo,46.75
Aatrox,",",Top,"Aatrox,Top",Jayce,51.11
Aatrox,",",Top,"Aatrox,Top",Nasus,52.49
Aatrox,",",Top,"Aatrox,Top",Maokai,49.31
Aatrox,",",Top,"Aatrox,Top",Volibear,49.00
Aatrox,",",Top,"Aatrox,Top",Urgot,50.00
Aatrox,",",Top,"Aatrox,Top",Olaf,51.16
Aatrox,",",Top,"Aatrox,Top",Zac,55.15
Aatrox,",",Top,"Aatrox,Top",Gnar,50.31
Aatrox,",",Top,"Aatrox,Top",Heimerdinger,50.31
Aatrox,",",Top,"Aatrox,Top",Cho'Gath,45.64
Aatrox,",",Top,"Aatrox,Top",Hecarim,51.30
Aatrox,",",Top,"Aatrox,Top",Nocturne,46.30
