Champion,1st Item,2nd Item,3rd Item,4th Item, Pick Rate, Win Rate
Aatrox, Black Cleaver, Death's Dance, Sterak's Gage,,32.60%,62.96%
Aatrox, Black Cleaver, Death's Dance, Guardian Angel,,15.90%,58.23%
Aatrox, Black Cleaver, Death's Dance, Spirit Visage,,9.05%,60.00%
Aatrox, Black Cleaver, Death's Dance, Maw of Malmortius,,3.62%,44.44%
Aatrox, Youmuu's Ghostblade, Black Cleaver, Death's Dance,,3.42%,70.59%
Aatrox, Youmuu's Ghostblade, Black Cleaver, Sterak's Gage,,3.22%,43.75%
Aatrox, Black Cleaver, Youmuu's Ghostblade, Sterak's Gage,,2.62%,61.54%
Aatrox, Death's Dance, Black Cleaver, Sterak's Gage,,2.21%,63.64%
Ahri, Hextech GLP-800, Twin Shadows, Morellonomicon,,28.22%,60.19%
Ahri, Hextech GLP-800, Twin Shadows, Zhonya's Hourglass,,17.35%,56.54%
Ahri, Luden's Echo, Morellonomicon, Zhonya's Hourglass,,6.36%,55.24%
Ahri, Hextech GLP-800, Twin Shadows, Mejai's Soulstealer,,4.45%,82.31%
Ahri, Luden's Echo, Morellonomicon, Rabadon's Deathcap,,3.45%,60.53%
Ahri, Hextech GLP-800, Twin Shadows, Rabadon's Deathcap,,3.12%,63.11%
Ahri, Hextech GLP-800, Twin Shadows, Banshee's Veil,,2.72%,55.56%
Ahri, Luden's Echo, Zhonya's Hourglass, Morellonomicon,,2.57%,49.41%
Akali, Hextech Gunblade, Morellonomicon, Zhonya's Hourglass,,44.03%,55.87%
Akali, Hextech Gunblade, Zhonya's Hourglass, Morellonomicon,,25.34%,53.40%
Akali, Hextech Gunblade, Morellonomicon, Rabadon's Deathcap,,6.40%,59.62%
Akali, Hextech Gunblade, Zhonya's Hourglass, Rabadon's Deathcap,,4.06%,54.55%
Akali, Hextech Gunblade, Morellonomicon, Void Staff,,2.46%,35.00%
Akali, Hextech Gunblade, Zhonya's Hourglass, Void Staff,,2.21%,44.44%
Akali, Hextech Gunblade, Rabadon's Deathcap, Zhonya's Hourglass,,1.48%,58.33%
Akali, Hextech Gunblade, Zhonya's Hourglass, Banshee's Veil,,1.48%,50.00%
Anivia, Rod of Ages, Archangel's Staff, Zhonya's Hourglass,,29.23%,54.45%
Anivia, Rod of Ages, Archangel's Staff, Morellonomicon,,14.00%,55.74%
Anivia, Rod of Ages, Archangel's Staff, Liandry's Torment,,6.81%,61.80%
Anivia, Rod of Ages, Zhonya's Hourglass, Archangel's Staff,,5.13%,62.69%
Anivia, Rod of Ages, Morellonomicon, Zhonya's Hourglass,,4.82%,47.62%
Anivia, Rod of Ages, Luden's Echo, Zhonya's Hourglass,,3.37%,65.91%
Anivia, Rod of Ages, Archangel's Staff, Rabadon's Deathcap,,3.21%,61.90%
Anivia, Rod of Ages, Zhonya's Hourglass, Morellonomicon,,2.45%,59.38%
Annie, Luden's Echo, Zhonya's Hourglass, Morellonomicon,,10.14%,62.07%
Annie, Luden's Echo, Morellonomicon, Zhonya's Hourglass,,5.24%,66.67%
Annie, Luden's Echo, Zhonya's Hourglass, Rabadon's Deathcap,,4.55%,76.92%
Annie, Luden's Echo, Zhonya's Hourglass, Void Staff,,4.55%,38.46%
Annie, Luden's Echo, Void Staff, Zhonya's Hourglass,,3.15%,77.78%
Annie, Zhonya's Hourglass, Luden's Echo, Morellonomicon,,3.15%,66.67%
Annie, Luden's Echo, Morellonomicon, Void Staff,,2.80%,50.00%
Annie, Luden's Echo, Liandry's Torment, Morellonomicon,,2.10%,66.67%
AurelionSol, Rod of Ages, Morellonomicon, Zhonya's Hourglass,,14.21%,59.05%
AurelionSol, Rod of Ages, Rylai's Crystal Scepter, Zhonya's Hourglass,,13.67%,63.37%
AurelionSol, Rod of Ages, Zhonya's Hourglass, Rylai's Crystal Scepter,,7.71%,59.65%
AurelionSol, Rod of Ages, Zhonya's Hourglass, Morellonomicon,,7.58%,64.29%
AurelionSol, Rylai's Crystal Scepter, Morellonomicon, Zhonya's Hourglass,,5.68%,73.81%
AurelionSol, Rod of Ages, Rylai's Crystal Scepter, Morellonomicon,,4.19%,54.84%
AurelionSol, Rylai's Crystal Scepter, Zhonya's Hourglass, Morellonomicon,,3.79%,64.29%
AurelionSol, Rod of Ages, Morellonomicon, Mejai's Soulstealer,,3.65%,88.89%
Azir, Nashor's Tooth, Morellonomicon, Zhonya's Hourglass,,15.52%,55.66%
Azir, Luden's Echo, Nashor's Tooth, Morellonomicon,,8.35%,45.61%
Azir, Luden's Echo, Nashor's Tooth, Zhonya's Hourglass,,7.03%,56.25%
Azir, Nashor's Tooth, Zhonya's Hourglass, Morellonomicon,,5.27%,50.00%
Azir, Nashor's Tooth, Morellonomicon, Rabadon's Deathcap,,4.98%,61.76%
Azir, Nashor's Tooth, Luden's Echo, Morellonomicon,,3.51%,62.50%
Azir, Nashor's Tooth, Morellonomicon, Banshee's Veil,,2.78%,68.42%
Azir, Luden's Echo, Nashor's Tooth, Rylai's Crystal Scepter,,2.78%,68.42%
Camille, Tiamat, Trinity Force, Ravenous Hydra, Sterak's Gage,36.49%,62.20%
Camille, Tiamat, Trinity Force, Ravenous Hydra, Guardian Angel,13.79%,62.50%
Camille, Trinity Force, Ravenous Hydra, Sterak's Gage,,8.05%,60.71%
Camille, Tiamat, Trinity Force, Sterak's Gage, Ravenous Hydra,6.61%,60.87%
Camille, Tiamat, Trinity Force, Sterak's Gage, Guardian Angel,4.31%,66.67%
Camille, Ravenous Hydra, Trinity Force, Sterak's Gage,,3.45%,50.00%
Camille, Trinity Force, Ravenous Hydra, Guardian Angel,,3.45%,41.67%
Camille, Trinity Force, Ravenous Hydra, Maw of Malmortius,,2.59%,77.78%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Liandry's Torment,,18.03%,61.55%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Zhonya's Hourglass,,15.26%,56.77%
Cassiopeia, Archangel's Staff, Rylai's Crystal Scepter, Morellonomicon,,11.33%,61.47%
