Champion,1st Item,2nd Item,3rd Item,4th Item, Pick Rate, Win Rate
Alistar, Zeke's Convergence, Knight's Vow, Locket of the Iron Solari,, 11.67%, 65.71%
Alistar, Zeke's Convergence, Locket of the Iron Solari, Knight's Vow,, 6.33%, 68.42%
Alistar, Knight's Vow, Locket of the Iron Solari, Redemption,, 4.00%, 33.33%
Alistar, Knight's Vow, Zeke's Convergence, Locket of the Iron Solari,, 3.67%, 72.73%
Alistar, Zeke's Convergence, Knight's Vow, Redemption,, 3.33%, 70.00%
Alistar, Zeke's Convergence, Knight's Vow, Gargoyle Stoneplate,, 3.33%, 80.00%
Alistar, Knight's Vow, Zeke's Convergence, Redemption,, 3.00%, 88.89%
Alistar, Knight's Vow, Redemption, Locket of the Iron Solari,, 2.67%, 75.00%
Bard, Athene's Unholy Grail, Redemption, Locket of the Iron Solari,, 4.88%, 69.81%
Bard, Twin Shadows, Redemption, Locket of the Iron Solari,, 2.95%, 75.00%
Bard, Redemption, Locket of the Iron Solari, Knight's Vow,, 2.21%, 79.17%
Bard, Twin Shadows, Locket of the Iron Solari, Redemption,, 1.93%, 52.38%
Bard, Redemption, Athene's Unholy Grail, Locket of the Iron Solari,, 1.93%, 76.19%
Bard, Locket of the Iron Solari, Redemption, Knight's Vow,, 1.84%, 70.00%
Bard, Athene's Unholy Grail, Redemption, Knight's Vow,, 1.47%, 81.25%
Bard, Redemption, Locket of the Iron Solari, Twin Shadows,, 1.10%, 91.67%
Blitzcrank, Zeke's Convergence, Knight's Vow, Locket of the Iron Solari,, 13.70%, 69.53%
Blitzcrank, Zeke's Convergence, Locket of the Iron Solari, Knight's Vow,, 7.95%, 59.88%
Blitzcrank, Zeke's Convergence, Knight's Vow, Redemption,, 7.22%, 63.27%
Blitzcrank, Zeke's Convergence, Locket of the Iron Solari, Redemption,, 3.49%, 67.61%
Blitzcrank, Zeke's Convergence, Redemption, Knight's Vow,, 3.29%, 61.19%
Blitzcrank, Zeke's Convergence, Redemption, Locket of the Iron Solari,, 2.55%, 67.31%
Blitzcrank, Knight's Vow, Zeke's Convergence, Locket of the Iron Solari,, 2.21%, 73.33%
Blitzcrank, Zeke's Convergence, Knight's Vow, Gargoyle Stoneplate,, 1.67%, 55.88%
Brand, Liandry's Torment, Rylai's Crystal Scepter, Zhonya's Hourglass,, 10.11%, 55.56%
Brand, Rylai's Crystal Scepter, Liandry's Torment, Zhonya's Hourglass,, 8.43%, 53.33%
Brand, Liandry's Torment, Zhonya's Hourglass, Rylai's Crystal Scepter,, 6.18%, 63.64%
Brand, Liandry's Torment, Rylai's Crystal Scepter, Morellonomicon,, 5.62%, 50.00%
Brand, Liandry's Torment, Morellonomicon, Zhonya's Hourglass,, 3.93%, 14.29%
Brand, Rylai's Crystal Scepter, Liandry's Torment, Morellonomicon,, 3.93%, 100.00%
Brand, Liandry's Torment, Zhonya's Hourglass, Morellonomicon,, 3.37%, 66.67%
Brand, Liandry's Torment, Morellonomicon, Rylai's Crystal Scepter,, 3.37%, 50.00%
Braum, Zeke's Convergence, Knight's Vow, Locket of the Iron Solari,, 15.06%, 59.02%
Braum, Zeke's Convergence, Knight's Vow, Redemption,, 11.85%, 56.25%
Braum, Zeke's Convergence, Knight's Vow, Gargoyle Stoneplate,, 6.91%, 71.43%
Braum, Zeke's Convergence, Locket of the Iron Solari, Knight's Vow,, 5.43%, 72.73%
Braum, Knight's Vow, Zeke's Convergence, Locket of the Iron Solari,, 5.19%, 52.38%
Braum, Zeke's Convergence, Redemption, Knight's Vow,, 4.44%, 55.56%
Braum, Knight's Vow, Locket of the Iron Solari, Redemption,, 3.70%, 93.33%
Braum, Knight's Vow, Zeke's Convergence, Gargoyle Stoneplate,, 3.46%, 85.71%
Fiddlesticks, Zhonya's Hourglass, Banshee's Veil, Morellonomicon,, 7.07%, 61.54%
Fiddlesticks, Zhonya's Hourglass, Morellonomicon, Banshee's Veil,, 5.43%, 60.00%
Fiddlesticks, Zhonya's Hourglass, Banshee's Veil, Twin Shadows,, 4.35%, 62.50%
Fiddlesticks, Zhonya's Hourglass, Morellonomicon, Void Staff,, 3.80%, 100.00%
Fiddlesticks, Zhonya's Hourglass, Rylai's Crystal Scepter, Morellonomicon,, 3.26%, 33.33%
Fiddlesticks, Zhonya's Hourglass, Rylai's Crystal Scepter, Liandry's Torment,, 3.26%, 66.67%
Fiddlesticks, Zhonya's Hourglass, Liandry's Torment, Rylai's Crystal Scepter,, 2.72%, 60.00%
Fiddlesticks, Zhonya's Hourglass, Morellonomicon, Liandry's Torment,, 2.17%, 25.00%
Galio, Knight's Vow, Locket of the Iron Solari, Redemption,, 5.00%, 25.00%
Galio, Knight's Vow, Locket of the Iron Solari, Gargoyle Stoneplate,, 5.00%, 75.00%
Galio, Righteous Glory, Locket of the Iron Solari, Knight's Vow,, 3.75%, 100.00%
Galio, Zeke's Convergence, Knight's Vow, Redemption,, 3.75%, 66.67%
Galio, Locket of the Iron Solari, Knight's Vow, Gargoyle Stoneplate,, 3.75%, 100.00%
Galio, Redemption, Gargoyle Stoneplate, Locket of the Iron Solari,, 3.75%, 100.00%
Galio, Zeke's Convergence, Knight's Vow, Locket of the Iron Solari,, 2.50%, 50.00%
