Champion,Rune1,Rune2,Rune3,Rune4,Rune5,Rune6,Rune7,Rune8,Rune9,Rune10,Pick Rate,Win Rate
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,26.70%,0.4782
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,9.48%,0.4973
Aatrox,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,5.42%,0.4828
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,3.76%,0.4851
Aatrox,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.91%,0.5011
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Armor,9.02%,0.4971
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Armor,2.42%,0.4995
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Armor,2.13%,0.5282
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,1.22%,0.4884
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,1.18%,0.5242
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,0.69%,0.5112
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,0.36%,0.5482
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,0.29%,0.5639
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,0.18%,0.4048
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Magical Footwear,,Cosmic Insight,CDR,Adaptive Force,Armor,0.14%,0.5873
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Armor,0.20%,0.5543
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,0.14%,0.4839
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Armor,0.11%,0.5417
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,0.07%,0.5000
Aatrox,Electrocute,Taste of Blood,Ghost Poro,Ravenous Hunter,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Armor,0.05%,0.5200
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,CDR,Adaptive Force,Magic Resist,11.85%,0.5208
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,7.08%,0.4927
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,CDR,Adaptive Force,Armor,5.22%,0.5075
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,Adaptive Force,Adaptive Force,Armor,3.20%,0.4783
Ahri,Glacial Augment,Magical Footwear,Biscuit Delivery,Cosmic Insight,Cheap Shot,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.74%,0.5261
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,3.27%,0.4735
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Armor,1.45%,0.4431
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,Celerity,,Adaptive Force,Adaptive Force,Magic Resist,0.94%,0.4931
Ahri,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.65%,0.4733
Ahri,Electrocute,Taste of Blood,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.51%,0.5214
Ahri,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.47%,0.4537
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.36%,0.4337
Ahri,Electrocute,Taste of Blood,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.22%,0.4800
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Magical Footwear,Biscuit Delivery,,Adaptive Force,Adaptive Force,Magic Resist,0.19%,0.5111
Ahri,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,0.19%,0.6364
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.16%,0.7027
Ahri,Glacial Augment,Magical Footwear,Biscuit Delivery,Cosmic Insight,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.10%,0.7391
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Armor,0.08%,0.2105
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Manaflow Band,Transcendence,,Attack Speed,Adaptive Force,Armor,0.06%,0.2857
Ahri,Glacial Augment,Perfect Timing,Biscuit Delivery,Cosmic Insight,Nullifying Orb,Transcendence,,CDR,Armor,Magic Resist,0.05%,0.6667
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,19.95%,0.4548
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,15.69%,0.4433
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.48%,0.5449
Akali,Conqueror,Presence of Mind,Legend: Alacrity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.37%,0.4727
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.36%,0.4695
Akali,Fleet Footwork,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,4.89%,0.4524
Akali,Fleet Footwork,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,2.64%,0.4322
Akali,Fleet Footwork,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,0.57%,0.4853
